rowNumber,sku,status,imageUrl,sourceImageUrl,reason,productUrl
"10202","2060006","updated","/products/parts/2060006.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/26768/59150/IMG_3809__69025.1678981443.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/newmac-grundfos-flange-kit-2060006-p/2060006.htm"
"10203","TRIMKIT-5134-NL","updated","/products/parts/trimkit-5134-nl.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/37893/60914/TRIMKIT-4331-NL-01__14041.1691104361.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/heatilator-eco-choice-quadra-fire-vermont-castings-satin-nickel-surround-trim-assembly-large-trimkit-5134-nl-p/trimkit-5134-nl.htm"
"10204","4017-023","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/hht-shroud-legs-4-pack-4017-023-p/4017-023.htm"
"10205","H6365","updated","/products/parts/h6365.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/41745/66165/H3881-01_1__26579.1748366366.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/lennox-b-vent-multi-open-elite-series-glass-enclosure-assembly-h6365-p/h6365.htm"
"10206","CF-DECO32-BK","updated","/products/parts/cf-deco32-bk.png","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/44166/65480/Screenshot_2025-03-11_145509__06569.1741726521.png?c=2","score=10","https://www.stove-parts-unlimited.com/heatilator-rave3012i-clean-face-front-black-cf-deco32-bk-p/cf-deco32-bk.htm"
"10207","10005386","updated","/products/parts/10005386.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/1590/41818/1401158-1__41296.1585076735.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/vermont-castings-trim-deflector-powder-black-10005386-p/10005386.htm"
"10208","SRV4087-353","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heatilator-lm42-pulley-2-1-2-srv4087-353-p/srv4087-353.htm"
"10209","SPK-LPA","updated","/products/parts/spk-lpa.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/813/35991/1__30878.1565112413.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/majestic-concentric-gas-safety-pilot-kit-lp-spk-lpa-p/spk-lpa.htm"
"10210","1-00-999125","updated","/products/parts/1-00-999125.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/22231/61843/1-00-999146-1__94815.1710955473.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/harman-absolute63-right-rear-cover-1-00-999125-p/1-00-999125.htm"
"10211","SRV2106-705","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-glo-front-right-log-srv2106-705-p/srv2106-705.htm"
"10212","800018B","updated","/products/parts/800018b.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/27766/59147/IMG_3728__91248.1678981341.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/hht-chimney-bracket-fastener-pack-800018b-p/800018b.htm"
"10213","SRV7031-028","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-glo-paloma-vrtikl-series-magnet-bracket-assembly-srv7031-028-p/srv7031-028.htm"
"10214","SRV16300-1244","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/stellar-galaxy-left-horizontal-trim-srv16300-1244-p/srv16300-1244.htm"
"10215","2-00-249162S","fetch-error","","","HTTP 404","https://www.stove-parts-unlimited.com/harman-oakwood-outer-shield-2-00-249162s-p/2-00-249162s.htm"
"10216","7005-110PBK","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/quadra-fire-mt-vernon-left-door-porcelain-black-7005-110pbk-p/7005-110pbk.htm"
